"legacy_code","current_code","chogan_name","category","subcategory","reference_brand","reference_perfume","verification_status","match_confidence","notes","type","price","gender_category","head_note","heart_note","base_note","product_url","match_reasoning","source_url","match_method"
"006","006W","Addiction - Perfume for Her","Women","Women perfumes inspired by","Yves Saint Laurent","Opium","Legacy code / current code found","Confirmed","","Perfume","35,00 €","Women","Bergamot, Lily-of-the-Valley, Mandarin Orange","Jasmine, Myrrh","Amber, Opoponax, Patchouli, Vanilla","https://www.chogangroupspa.com/chogangroup/productDetail/11751","","","Normalized code (suffix / leading zero)"
"007","007W","Pure Gold - Perfume for Her","Women","Women perfumes inspired by","Dior","J'adore","Legacy code / current code found","Confirmed","Popular","Perfume","35,00 €","Women","Bergamot, Magnolia, Mandarin Orange, Melon, Pear, Quandong Desert Peach","Freesia, Jasmine, Lily-of-the-Valley, Orchid, Plum, Rose, Tuberose, Violet","Blackberry, Cedar, Musk, Vanilla","https://www.chogangroupspa.com/chogangroup/productDetail/11766","","","Normalized code (suffix / leading zero)"
"010","010W","Stranger - Perfume for Her","Women","Women perfumes inspired by","Thierry Mugler","Alien","Legacy code / current code found","Confirmed","Popular","Perfume","35,00 €","Women","Jasmine","Woody Notes","White Amber","https://www.chogangroupspa.com/chogangroup/productDetail/11786","","","Normalized code (suffix / leading zero)"
"011","011W","Aqua Soul for Her - Perfume","Women","Women perfumes inspired by","Dolce & Gabbana","Light Blue","Legacy code / current code found","Confirmed","","Perfume","35,00 €","Women","Apple, Bellflower, Cedar, Lemon","Bamboo, Jasmine, Rose","Amber, Cedar, Musk","https://www.chogangroupspa.com/chogangroup/productDetail/11791","","","Normalized code (suffix / leading zero)"
"213","151W","To The Edge For Her - Perfume for Her","Women","Women perfumes inspired by","Gucci","Guilty","Needs review","Very likely","151W/To The Edge For Her looks like the newer related product, but notes differ between Guilty EDT/EDP versions; verify exact target before replacing 213.","Perfume","35,00 €","Women","Bergamot, Mandarin Orange, Pink Pepper","Black Currant, Geranium, Jasmine, Lilac, Peach","Amber, Musk, Patchouli, Vanilla","https://www.chogangroupspa.com/chogangroup/productDetail/11053","151W/To The Edge For Her looks like the newer related product, but notes differ between Guilty EDT/EDP versions; verify exact target before replacing 213.","https://www.exclusive-by-changed-nails.nl/a-105751330/chogan-olfazeta-dames-parfum/olfazeta-to-the-edge-for-her-parfum-151/","Audit mapping"
"014","014W","Statement - Perfume for Her","Women","Women perfumes inspired by","Yves Saint Laurent","Manifesto","Legacy code / current code found","Confirmed","","Perfume","35,00 €","Women","Bergamot, Black Currant, Green Notes","Jasmine, Lily-of-the-Valley","Cedarwood, Sandalwood, Tonka Bean, Vanilla","https://www.chogangroupspa.com/chogangroup/productDetail/11816","","","Normalized code (suffix / leading zero)"
"019","019W","Prestige for Her - Perfume","Women","Women perfumes inspired by","Paco Rabanne","Lady Million","Legacy code / current code found","Confirmed","Popular","Perfume","35,00 €","Women","Lemon, Neroli, Raspberry","Gardenia, Jasmine, Orange Blossom","Amber, Honey, Patchouli","https://www.chogangroupspa.com/chogangroup/productDetail/11886","","","Normalized code (suffix / leading zero)"
"023","023W","Fatale - Perfume for Her","Women","Women perfumes inspired by","Dior","Hypnotic Poison","Legacy code / current code found","Confirmed","Popular","Perfume","35,00 €","Women","Apricot, Coconut, Plum","Brazilian Rosewood, Caraway, Jasmine, Lily-of-the-Valley, Rose, Tuberose","Almond, Musk, Sandalwood, Vanilla","https://www.chogangroupspa.com/chogangroup/productDetail/11941","","","Normalized code (suffix / leading zero)"
"024","024W","The Essence - Perfume for Her","Women","Women perfumes inspired by","Chanel","Chanel N°5","Legacy code / current code found","Confirmed","","Perfume","35,00 €","Women","Aldehydes, Bergamot, Lemon, Neroli, Ylang-Ylang","Iris, Jasmine, Lily-of-the-Valley, Orris Root, Rose","Civet, Oakmoss, Patchouli, Sandalwood, Vanilla, Vetiver","https://www.chogangroupspa.com/chogangroup/productDetail/11981","","","Normalized code (suffix / leading zero)"
"025","025","Perfume for Her with 30% essence","Women","Women perfumes inspired by","Narciso Rodriguez","For Her","Confirmed","Confirmed","","Perfume","35,00 €","Women","Peach, Rose","Amber, Musk","Patchouli, Sandalwood","https://www.chogangroupspa.com/chogangroup/productDetail/9013","","","Exact code"
"026","026W","Wild Poppy - Perfume for Her","Women","Women perfumes inspired by","Kenzo","Flower","Legacy code / current code found","Confirmed","","Perfume","35,00 €","Women","Black Currant, Hawthorn, Mandarin Orange, Rose","Jasmine, Opoponax, Rose, Violet","Incense, Musk, Vanilla","https://www.chogangroupspa.com/chogangroup/productDetail/12001","","","Normalized code (suffix / leading zero)"
"027","027W","L'Amour Rare - Perfume for Her","Women","Women perfumes inspired by","Lancôme","Tresor","Legacy code / current code found","Confirmed","","Perfume","35,00 €","Women","Apricot Blossom, Bergamot, Lilac, Lily-of-the-Valley, Peach, Pineapple, Rose","Heliotrope, Iris, Jasmine, Rose","Amber, Apricot, Musk, Peach, Sandalwood, Vanilla","https://www.chogangroupspa.com/chogangroup/productDetail/12016","","","Normalized code (suffix / leading zero)"
"028","028W","Etherea - Perfume for Her","Women","Women perfumes inspired by","Thierry Mugler","Angel","Legacy code / current code found","Confirmed","","Perfume","35,00 €","Women","Bergamot, Black Currant, Coconut, Cotton Candy, Jasmine, Mandarin Orange, Melon, Pineapple","Apricot, Blackberry, Caraway, Honey, Jasmine, Lily-of-the-Valley, Nutmeg, Orchid, Peach, Plum, Red Berries, Rose","Amber, Caramel, Dark Chocolate, Musk, Patchouli, Sandalwood, Tonka Bean, Vanilla","https://www.chogangroupspa.com/chogangroup/productDetail/12031","","","Normalized code (suffix / leading zero)"
"029","029W","Rêve Parisien - Perfume for Her","Women","Women perfumes inspired by","Issey Miyake","L'eau d'Issey","Legacy code / current code found","Confirmed","","Perfume","35,00 €","Women","Calone, Cyclamen, Freesia, Lotus, Melon, Rose","Carnation, Lily, Lily-of-the-Valley, Peony","Amber, Cedar, Musk, Osmanthus, Sandalwood, Tuberose, Woody Notes","https://www.chogangroupspa.com/chogangroup/productDetail/12046","","","Normalized code (suffix / leading zero)"
"039","039W","Darling - Perfume for Her","Women","Women perfumes inspired by","Dior","Miss Dior Cherie","Legacy code / current code found","Confirmed","","Perfume","35,00 €","Women","Mandarin Orange, Wild Strawberry","Jasmine, Rose","Amber, Oakmoss, Patchouli, Sandalwood, Vetiver","https://www.chogangroupspa.com/chogangroup/productDetail/12136","","","Normalized code (suffix / leading zero)"
"040","040","Perfume for Her with 30% essence","Women","Women perfumes inspired by","Lancôme","Hypnose","Confirmed","Confirmed","","Perfume","35,00 €","Women","Passion Flower","Gardenia, Jasmine","Vanilla, Vetiver","https://www.chogangroupspa.com/chogangroup/productDetail/9039","","","Exact code"
"241","153W","Rose Dust - Perfume for Her","Women","Women perfumes inspired by","Chloé","Chloe","Legacy code / current code found","Confirmed","Current 153W/Rose Dust has the exact Chloé EDP style pyramid: peony/freesia/lychee; rose/lily-of-the-valley/magnolia; amber/cedar.","Perfume","35,00 €","Women","Freesia, Litchi, Peony","Lily-of-the-Valley, Magnolia, Rose","Amber, Cedarwood","https://www.chogangroupspa.com/chogangroup/productDetail/10993","Current 153W/Rose Dust has the exact Chloé EDP style pyramid: peony/freesia/lychee; rose/lily-of-the-valley/magnolia; amber/cedar.","https://www.fragrantica.com/perfume/Chloe/Chloe-Lisy-5838.html","Audit mapping"
"042","042W","Bonheur Supreme - Perfume for Her","Women","Women perfumes inspired by","Lancôme","La Vie Est Belle","Legacy code / current code found","Confirmed","Popular","Perfume","35,00 €","Women","Black Currant, Pear","Iris, Jasmine, Orange Blossom","Patchouli, Praline, Tonka Bean, Vanilla","https://www.chogangroupspa.com/chogangroup/productDetail/12166","","","Normalized code (suffix / leading zero)"
"243","154W","Liaison Rose - Perfume for Her","Women","Women perfumes inspired by","Chloé","Love Chloe","Likely correct","Very likely","154W/Liaison Rose has Love Chloé’s distinctive powdery floral/rice-musk structure: orange blossom/pink pepper; heliotrope/hyacinth/iris/lilac/wisteria; musk/powdery notes/rice.","Perfume","35,00 €","Women","Orange Blossom, Pink Pepper","Heliotrope, Hyacinth, Iris, Lilac, Wisteria","Musk, Powdery Notes, Rice","https://www.chogangroupspa.com/chogangroup/productDetail/11008","154W/Liaison Rose has Love Chloé’s distinctive powdery floral/rice-musk structure: orange blossom/pink pepper; heliotrope/hyacinth/iris/lilac/wisteria; musk/powdery notes/rice.","https://www.fragrantica.com/news/Love-Purse-Spray-by-Chloe-2994.html","Audit mapping"
"047","047W","Night Gem - Perfume for Her","Women","Women perfumes inspired by","Versace","Crystal Noir","Legacy code / current code found","Confirmed","","Perfume","35,00 €","Women","Cardamom, Ginger, Pepper","Coconut, Gardenia, Orange Blossom, Peony","Amber, Musk, Sandalwood","https://www.chogangroupspa.com/chogangroup/productDetail/12196","","","Normalized code (suffix / leading zero)"
"049","049","Perfume for Her with 30% essence","Women","Women perfumes inspired by","Dolce & Gabbana","Dolce","Confirmed","Confirmed","","Perfume","35,00 €","Women","Neroli, Papaya Blossom","Amarillys, Narcissus, Water Lily","Cashmeran, Musk","https://www.chogangroupspa.com/chogangroup/productDetail/8917","","","Exact code"
"051","051W","Miss Bijou - Perfume for Her","Women","Women perfumes inspired by","Chanel","Coco Mademoiselle","Legacy code / current code found","Confirmed","Popular","Perfume","35,00 €","Women","Bergamot, Mandarin Orange, Orange, Orange Blossom","Jasmine, Mimosa, Rose, Ylang-Ylang","Musk, Opoponax, Patchouli, Tonka Bean, Vanilla, Vetiver","https://www.chogangroupspa.com/chogangroup/productDetail/12241","","","Normalized code (suffix / leading zero)"
"053","053W","Vanité - Perfume for Her","Women","Women perfumes inspired by","Narciso Rodriguez","Narciso","Legacy code / current code found","Confirmed","","Perfume","35,00 €","Women","Bulgarian Rose, Gardenia","Musk","Cedarwood, Vetiver","https://www.chogangroupspa.com/chogangroup/productDetail/12271","","","Normalized code (suffix / leading zero)"
"055","055W","Black Addiction - Perfume for Her","Women","Women perfumes inspired by","Yves Saint Laurent","Black Opium","Legacy code / current code found","Confirmed","Popular","Perfume","35,00 €","Women","Orange Blossom, Pear, Pink Pepper","Almond, Coffee, Jasmine, Licorice","Cashmir wood, Cedar, Patchouli, Vanilla","https://www.chogangroupspa.com/chogangroup/productDetail/12301","","","Normalized code (suffix / leading zero)"
"056","056W","Light & Dark - Perfume for Her","Women","Women perfumes inspired by","Givenchy","Ange ou Demon","Legacy code / current code found","Confirmed","","Perfume","35,00 €","Women","Mandarin Orange, Saffron, Thyme","Lily, Orchid, Ylang-Ylang","Brazilian Rosewood, Oakmoss, Tonka Bean, Vanilla","https://www.chogangroupspa.com/chogangroup/productDetail/12316","","","Normalized code (suffix / leading zero)"
"057","057W","Pure Purple - Perfume for Her","Women","Women perfumes inspired by","Bulgari","Omnia Amethyste","Legacy code / current code found","Confirmed","","Perfume","35,00 €","Women","Grapefruit, Green Notes","Iris, Rose","Heliotrope, Woody Notes","https://www.chogangroupspa.com/chogangroup/productDetail/12321","","","Normalized code (suffix / leading zero)"
"063","","","Women","Women perfumes inspired by","Hugo Boss","Hugo","Confirmed","Confirmed","","Perfume","35,00 €","Women","","","","","","","Legacy entry retained"
"064","064W","Talisman - Perfume for Her","Women","Women perfumes inspired by","Bulgari","Omnia Indian Garnet","Legacy code / current code found","Confirmed","","Perfume","35,00 €","Women","Mandarin Orange, Orange, Saffron","Osmanthus, Tuberose","Amber, Woody Notes","https://www.chogangroupspa.com/chogangroup/productDetail/12376","","","Normalized code (suffix / leading zero)"
"067","067W","Victoria - Perfume for Her","Women","Women perfumes inspired by","Paco Rabanne","Olympea","Legacy code / current code found","Confirmed","","Perfume","35,00 €","Women","Ginger, Jasmine, Mandarin Orange","Salt, Vanilla","Ambergris, Cashmir wood, Sandalwood","https://www.chogangroupspa.com/chogangroup/productDetail/12391","","","Normalized code (suffix / leading zero)"
"070","070","Perfume for Her with 30% essence","Women","Women perfumes inspired by","Dolce & Gabbana","The One","Confirmed","Confirmed","","Perfume","35,00 €","Women","Bergamot, Litchi, Mandarin Orange, Peach","Jasmine, Lily, Lily-of-the-Valley, Plum","Amber, Musk, Vanilla, Vetiver","https://www.chogangroupspa.com/chogangroup/productDetail/9059","","","Exact code"
"071","071","Perfume for Her with 30% essence","Women","Women perfumes inspired by","Chanel","Allure","Confirmed","Confirmed","","Perfume","35,00 €","Women","Bergamot, Lemon, Mandarin Orange, Passionfruit, Peach","Freesia, Honeysuckle, Jasmine, Magnolia, Orange Blossom, Peony, Rose, Water Lily","Amber, Patchouli, Sandalwood, Vanilla, Vetiver","https://www.chogangroupspa.com/chogangroup/productDetail/9061","","","Exact code"
"076","076W","Deep Blue for Her - Perfume","Women","Women perfumes inspired by","Armani","Acqua di Gioia","Legacy code / current code found","Confirmed","","Perfume","35,00 €","Women","Lemon, Mint","Jasmine","Brown Sugar, Cedarwood, Labdanum","https://www.chogangroupspa.com/chogangroup/productDetail/12496","","","Normalized code (suffix / leading zero)"
"277","158W","Wild Bloom - Perfume for Her","Women","Women perfumes inspired by","Gucci","Flora","Legacy code / current code found","Confirmed","Reseller page explicitly says 158W formerly 277; notes match a fresh floral osmanthus/rose/peony profile associated with Flora.","Perfume","35,00 €","Women","Citruses, Mandarin Orange, Peony","Osmanthus, Rose","Patchouli, Pink Pepper, Sandalwood","https://www.chogangroupspa.com/chogangroup/productDetail/11023","Reseller page explicitly says 158W formerly 277; notes match a fresh floral osmanthus/rose/peony profile associated with Flora.","https://www.fragrantica.com/perfume/Gucci/Flora-by-Gucci-Eau-de-Toilette-5226.html","Audit mapping"
"080","080W","Absolutely - Perfume for Her","Women","Women perfumes inspired by","Armani","Si","Legacy code / current code found","Confirmed","Popular","Perfume","35,00 €","Women","Black Currant","Freesia, Rose","Ambroxan, Patchouli, Vanilla, Woody Notes","https://www.chogangroupspa.com/chogangroup/productDetail/12526","","","Normalized code (suffix / leading zero)"
"081","081W","Allure Éternelle - Perfume for Her","Women","Women perfumes inspired by","Jean Paul Gaultier","Classique Essence","Legacy code / current code found","Confirmed","","Perfume","35,00 €","Women","Aldehydes, Ginger, Tangerine","Jasmine, Orange Blossom","Benzoin, Cashmir wood, Cream, Vanilla, Woody Notes","https://www.chogangroupspa.com/chogangroup/productDetail/12541","","","Normalized code (suffix / leading zero)"
"082","082","Perfume for Her with 30% essence","Women","Women perfumes inspired by","Ferragamo","Signorina","Confirmed","Confirmed","","Perfume","35,00 €","Women","Pink Pepper, Red Currant","Jasmine, Peony, Rose","Musk, Patchouli","https://www.chogangroupspa.com/chogangroup/productDetail/9073","","","Exact code"
"085","085W","Serendipity - Perfume for Her","Women","Women perfumes inspired by","Chanel","Chance","Legacy code / current code found","Confirmed","","Perfume","35,00 €","Women","Hyacinth, Iris, Patchouli, Pineapple, Pink Pepper","Jasmine, Lemon, Rose","Musk, Patchouli, Vanilla, Vetiver","https://www.chogangroupspa.com/chogangroup/productDetail/12586","","","Normalized code (suffix / leading zero)"
"089","089W","Ville Lumière - Perfume for Her","Women","Women perfumes inspired by","Yves Saint Laurent","Mon Paris","Legacy code / current code found","Confirmed","","Perfume","35,00 €","Women","Bergamot, Calone, Orange, Pear, Raspberry, Tangerine, Wild Strawberry","Datura, Jasmine, Orange Blossom, Peony","Cedarwood, Musk, Oakmoss, Patchouli, Vanilla","https://www.chogangroupspa.com/chogangroup/productDetail/12631","","","Normalized code (suffix / leading zero)"
"090","090","Perfume For Her with 30% essence","Women","Women perfumes inspired by","Dior","Poison Girl","Confirmed","Confirmed","","Perfume","35,00 €","Women","Bitter Orange, Lemon","Orange Blossom, Rose","Almond, Cashmeran, Heliotrope, Sandalwood, Tolu Balsam, Tonka Bean, Vanilla","https://www.chogangroupspa.com/chogangroup/productDetail/9083","","","Exact code"
"095","159W","British Charm For Her - Perfume for Her","Women","Women perfumes inspired by","Burberry","Burberry Women","Needs review","Very likely","159W/British Charm For Her strongly matches Burberry Women’s fruit-floral-woody profile: apricot/blackcurrant/apple/peach/pear; jasmine/moss/sandalwood; cedar/musk/vanilla.","Perfume","35,00 €","Women","Apricot, Black Currant, Green Apple, Peach, Pear","Jasmine, Moss, Sandalwood","Cedarwood, Musk, Vanilla","https://www.chogangroupspa.com/chogangroup/productDetail/10948","159W/British Charm For Her strongly matches Burberry Women’s fruit-floral-woody profile: apricot/blackcurrant/apple/peach/pear; jasmine/moss/sandalwood; cedar/musk/vanilla.","https://www.google.com/search?q=%22apricot%22+%22black+currant%22+%22green+apple%22+%22Burberry+Women%22+perfume","Audit mapping"
"096","","","Women","Women perfumes inspired by","Chanel","Gabrielle","Confirmed","Confirmed","","Perfume","35,00 €","Women","","","","","","","Legacy entry retained"
"097","097","Perfume for Her with 30% essence","Women","Women perfumes inspired by","Ferragamo","Amo","Confirmed","Confirmed","","Perfume","35,00 €","Women","Black Currant, Campari, Rosemary","Jasmine, Mate, Rhubarb","Ambroxan, Sandalwood, Vanilla","https://www.chogangroupspa.com/chogangroup/productDetail/9087","","","Exact code"
"098","098","Perfume for Her with 30% essence","Women","Women perfumes inspired by","Dior","Joy","Confirmed","Confirmed","","Perfume","35,00 €","Women","Bergamot, Mandarin Orange","Black Currant, Jasmine, Peach, Rose","Benzoin, Cedarwood, Musk, Patchouli, Sandalwood","https://www.chogangroupspa.com/chogangroup/productDetail/9089","","","Exact code"
"115","115W","Icon - Perfume for Her","Women","Women perfumes inspired by","Lancôme","Idole","Legacy code / current code found","Confirmed","","Perfume","35,00 €","Women","Bergamot, Pear, Pink Pepper","Jasmine, Rose","Cedar, Musk, Patchouli, Vanilla","https://www.chogangroupspa.com/chogangroup/productDetail/12781","","","Normalized code (suffix / leading zero)"
"116","116W","Declare - Perfume for Her","Women","Women perfumes inspired by","Cacharel","Yes I Am","Legacy code / current code found","Confirmed","","Perfume","35,00 €","Women","Bergamot, Lemon, Mandarin Orange, Raspberry","Amber, Gardenia, Ginger, Jasmine, Orange Blossom, Rose","Amberwood, Benzoin, Caramel, Cardamom, Coumarin, Licorice, Milk, Sandalwood, Vanilla","https://www.chogangroupspa.com/chogangroup/productDetail/12796","","","Normalized code (suffix / leading zero)"
"119","119W","Dark Affair - Perfume for Her","Women","Women perfumes inspired by","Jean Paul Gaultier","Scandal","Legacy code / current code found","Confirmed","Popular","Perfume","35,00 €","Women","Blood Orange, Mandarin Orange","Gardenia, Honey, Jasmine, Orange Blossom, Peach","Beeswax, Caramel, Licorice, Patchouli","https://www.chogangroupspa.com/chogangroup/productDetail/12811","","","Normalized code (suffix / leading zero)"
"120","120W","Haute Couture - Perfume for Her","Women","Women perfumes inspired by","Guerlain","La Petite Robe Noire","Legacy code / current code found","Confirmed","","Perfume","35,00 €","Women","Almond, Bergamot, Red Berries, Sour Cherry","Licorice, Rose, Taif Rose, Tea","Anise, Iris, Patchouli, Tonka Bean, Vanilla","https://www.chogangroupspa.com/chogangroup/productDetail/12826","","","Normalized code (suffix / leading zero)"
"121","121W","Secret Desire - Perfume for Her","Women","Women perfumes inspired by","Givenchy","L'Interdit","Legacy code / current code found","Confirmed","Popular","Perfume","35,00 €","Women","Aldehydes, Bergamot, Mandarin Orange, Peach, Spices, Wild Strawberry","Iris, Jasmine, Lily-of-the-Valley, Narcissus, Orris Root, Rose, Violet, Ylang-Ylang","Amber, Benzoin, Musk, Sandalwood, Tonka Bean, Vetiver","https://www.chogangroupspa.com/chogangroup/productDetail/12841","","","Normalized code (suffix / leading zero)"
"133","133W","Enigma - Perfume for Her","Women","Women perfumes inspired by","Prada","Prada Paradoxe","Legacy code / current code found","Confirmed","","Perfume","35,00 €","Women","Bergamot, Neroli, Pear","Jasmine, Moss, Neroli essence","Amber, Ambrofix, Bourbon vanilla, Serenolide, Vanilla","https://www.chogangroupspa.com/chogangroup/productDetail/12871","","","Normalized code (suffix / leading zero)"
"145","145","Perfume for Her with 30% essence","Women","Women perfumes inspired by","Dolce & Gabbana","Devotion","Confirmed","Confirmed","","Perfume","35,00 €","Women","Candied lemon","Orange Blossom, Panna Cotta, Rum","Vanilla","https://www.chogangroupspa.com/chogangroup/productDetail/9243","","","Exact code"
"001","001M","Prestige for Him - Perfume","Men","Men perfumes inspired by","Paco Rabanne","One Million","Legacy code / current code found","Confirmed","Popular","Perfume","35,00 €","Men","Grapefruit, Mandarin Orange, Mint","Cinnamon, Rose, Spices","Amber, Leather, Patchouli, Woody Notes","https://www.chogangroupspa.com/chogangroup/productDetail/11696","","","Normalized code (suffix / leading zero)"
"002","002M","Deep Blue for Him - Perfume","Men","Men perfumes inspired by","Armani","Acqua di Gio","Legacy code / current code found","Confirmed","Popular","Perfume","35,00 €","Men","Bergamot, Jasmine, Lemon, Lime, Mandarin Orange, Neroli, Orange","Calone, Coriander, Cyclamen, Freesia, Hyacinth, Jasmine, Mignonette, Nutmeg, Peach, Rose, Rosemary, Sea Water, Violet","Amber, Cedar, Musk, Oakmoss, Patchouli","https://www.chogangroupspa.com/chogangroup/productDetail/11711","","","Normalized code (suffix / leading zero)"
"003","003M","Fireborn - Perfume for Him","Men","Men perfumes inspired by","Dior","Fahrenheit","Legacy code / current code found","Confirmed","Popular","Perfume","35,00 €","Men","Bergamot, Cedar, Chamomile, Hawthorn, Lavender, Lemon, Mandarin Orange, Nutmeg","Carnation, Cedar, Honeysuckle, Jasmine, Lily-of-the-Valley, Nutmeg, Sandalwood, Violet Leaf","Amber, Leather, Musk, Patchouli, Tonka Bean, Vetiver","https://www.chogangroupspa.com/chogangroup/productDetail/11726","","","Normalized code (suffix / leading zero)"
"004","004","Perfume for Him with 30% essence","Men","Men perfumes inspired by","Dolce & Gabbana","The One","Confirmed","Confirmed","","Perfume","35,00 €","Men","Basil, Coriander, Grapefruit","Cardamom, Ginger, Orange Blossom","Amber, Cedar, Tobacco Blossom","https://www.chogangroupspa.com/chogangroup/productDetail/8902","","","Exact code"
"205","","","Men","Men perfumes inspired by","Hugo Boss","Hugo","Confirmed","Confirmed","Popular","Perfume","35,00 €","Men","","","","","","","Legacy entry retained"
"012","012M","Revenant - Perfume for Him","Men","Men perfumes inspired by","Dior","Eau Sauvage","Legacy code / current code found","Confirmed","","Perfume","35,00 €","Men","Basil, Bergamot, Caraway, Fruity Notes, Lemon, Rosemary","Carnation, Coriander, Jasmine, Orris Root, Patchouli, Rose, Sandalwood","Amber, Musk, Oakmoss, Vetiver","https://www.chogangroupspa.com/chogangroup/productDetail/11821","","","Normalized code (suffix / leading zero)"
"015","015","Perfume for Him with 30% essence","Men","Men perfumes inspired by","Laura Biagiotti","Roma Uomo","Confirmed","Confirmed","","Perfume","35,00 €","Men","Basil, Bergamot, Galbanum, Grapefruit","Heliotrope, Jasmine, Juniper, Pine Tree","Benzoin, Cedar, Patchouli, Sandalwood","https://www.chogangroupspa.com/chogangroup/productDetail/9025","","","Exact code"
"016","016M","Sailor - Perfume for Him","Men","Men perfumes inspired by","Jean Paul Gaultier","Le Male","Legacy code / current code found","Confirmed","Popular","Perfume","35,00 €","Men","Artemisia, Bergamot, Cardamom, Lavender, Mint","Caraway, Cinnamon, Orange Blossom","Amber, Cedar, Sandalwood, Tonka Bean, Vanilla","https://www.chogangroupspa.com/chogangroup/productDetail/11851","","","Normalized code (suffix / leading zero)"
"217","152M","To The Edge For Him - Perfume for Him","Men","Men perfumes inspired by","Gucci","Guilty","Needs review","Very likely","152M/To The Edge For Him matches the Guilty Pour Homme note skeleton: lavender/lemon; orange blossom; cedar/patchouli/vanilla.","Perfume","35,00 €","Men","Lavender, Lemon","Orange Blossom","Cedarwood, Patchouli, Vanilla","https://www.chogangroupspa.com/chogangroup/productDetail/11038","152M/To The Edge For Him matches the Guilty Pour Homme note skeleton: lavender/lemon; orange blossom; cedar/patchouli/vanilla.","https://niceonesa.com/en/gucci-guilty-pour-homme-for-men-eau-de-toilette-n7997","Audit mapping"
